Iteration,Vdd,Cload,Slew,Temp,Wp,Reason
1258,0.7999999999999999,2.327272727272727e-14,4e-10,100,3.6e-07,Power value not found in log
1260,0.7999999999999999,2.327272727272727e-14,4e-10,125,3.6e-07,Power value not found in log
1264,0.7999999999999999,2.7727272727272724e-14,1e-11,-25,3.6e-07,Power value not found in log
1271,0.7999999999999999,2.7727272727272724e-14,1e-11,100,1.8e-07,Power value not found in log
1272,0.7999999999999999,2.7727272727272724e-14,1e-11,100,3.6e-07,Power value not found in log
1274,0.7999999999999999,2.7727272727272724e-14,1e-11,125,3.6e-07,Power value not found in log
1279,0.7999999999999999,2.7727272727272724e-14,5e-11,0,1.8e-07,Power value not found in log
1280,0.7999999999999999,2.7727272727272724e-14,5e-11,0,3.6e-07,Power value not found in log
1282,0.7999999999999999,2.7727272727272724e-14,5e-11,25,3.6e-07,Power value not found in log
1284,0.7999999999999999,2.7727272727272724e-14,5e-11,75,3.6e-07,Power value not found in log
1286,0.7999999999999999,2.7727272727272724e-14,5e-11,100,3.6e-07,Power value not found in log
1287,0.7999999999999999,2.7727272727272724e-14,5e-11,125,1.8e-07,Power value not found in log
1289,0.7999999999999999,2.7727272727272724e-14,1e-10,-40,1.8e-07,Power value not found in log
1291,0.7999999999999999,2.7727272727272724e-14,1e-10,-25,1.8e-07,Power value not found in log
1296,0.7999999999999999,2.7727272727272724e-14,1e-10,25,3.6e-07,Power value not found in log
1297,0.7999999999999999,2.7727272727272724e-14,1e-10,75,1.8e-07,Power value not found in log
1299,0.7999999999999999,2.7727272727272724e-14,1e-10,100,1.8e-07,Power value not found in log
1301,0.7999999999999999,2.7727272727272724e-14,1e-10,125,1.8e-07,Power value not found in log
1302,0.7999999999999999,2.7727272727272724e-14,1e-10,125,3.6e-07,Power value not found in log
1304,0.7999999999999999,2.7727272727272724e-14,2e-10,-40,3.6e-07,Power value not found in log
1307,0.7999999999999999,2.7727272727272724e-14,2e-10,0,1.8e-07,Power value not found in log
1309,0.7999999999999999,2.7727272727272724e-14,2e-10,25,1.8e-07,Power value not found in log
1310,0.7999999999999999,2.7727272727272724e-14,2e-10,25,3.6e-07,Power value not found in log
1311,0.7999999999999999,2.7727272727272724e-14,2e-10,75,1.8e-07,Power value not found in log
1312,0.7999999999999999,2.7727272727272724e-14,2e-10,75,3.6e-07,Power value not found in log
1313,0.7999999999999999,2.7727272727272724e-14,2e-10,100,1.8e-07,Power value not found in log
1314,0.7999999999999999,2.7727272727272724e-14,2e-10,100,3.6e-07,Power value not found in log
1315,0.7999999999999999,2.7727272727272724e-14,2e-10,125,1.8e-07,Power value not found in log
1316,0.7999999999999999,2.7727272727272724e-14,2e-10,125,3.6e-07,Power value not found in log
1318,0.7999999999999999,2.7727272727272724e-14,4e-10,-40,3.6e-07,Power value not found in log
1320,0.7999999999999999,2.7727272727272724e-14,4e-10,-25,3.6e-07,Power value not found in log
1321,0.7999999999999999,2.7727272727272724e-14,4e-10,0,1.8e-07,Power value not found in log
1323,0.7999999999999999,2.7727272727272724e-14,4e-10,25,1.8e-07,Power value not found in log
1324,0.7999999999999999,2.7727272727272724e-14,4e-10,25,3.6e-07,Power value not found in log
1326,0.7999999999999999,2.7727272727272724e-14,4e-10,75,3.6e-07,Power value not found in log
1327,0.7999999999999999,2.7727272727272724e-14,4e-10,100,1.8e-07,Power value not found in log
1328,0.7999999999999999,2.7727272727272724e-14,4e-10,100,3.6e-07,Power value not found in log
1329,0.7999999999999999,2.7727272727272724e-14,4e-10,125,1.8e-07,Power value not found in log
1330,0.7999999999999999,2.7727272727272724e-14,4e-10,125,3.6e-07,Power value not found in log
1331,0.7999999999999999,3.218181818181818e-14,1e-11,-40,1.8e-07,Power value not found in log
1332,0.7999999999999999,3.218181818181818e-14,1e-11,-40,3.6e-07,Power value not found in log
1333,0.7999999999999999,3.218181818181818e-14,1e-11,-25,1.8e-07,Power value not found in log
1334,0.7999999999999999,3.218181818181818e-14,1e-11,-25,3.6e-07,Power value not found in log
1336,0.7999999999999999,3.218181818181818e-14,1e-11,0,3.6e-07,Power value not found in log
