Vdd,Cload,Slew,Temp,Wp,Gate_ID,Power
0.7,9.909090909090907e-15,1e-10,-40,1.8e-07,1,2.50048e-06
0.7,9.909090909090907e-15,1e-10,-40,3.6e-07,1,2.54703e-06
0.7,9.909090909090907e-15,1e-10,-25,1.8e-07,1,2.5021e-06
0.7,9.909090909090907e-15,1e-10,-25,3.6e-07,1,2.55033e-06
0.7,9.909090909090907e-15,1e-10,0,1.8e-07,1,2.50415e-06
0.7,9.909090909090907e-15,1e-10,0,3.6e-07,1,2.55466e-06
0.7,9.909090909090907e-15,1e-10,25,1.8e-07,1,2.50577e-06
0.7,9.909090909090907e-15,1e-10,25,3.6e-07,1,2.55774e-06
0.7,9.909090909090907e-15,1e-10,75,1.8e-07,1,2.50823e-06
0.7,9.909090909090907e-15,1e-10,75,3.6e-07,1,2.56224e-06
0.7,9.909090909090907e-15,1e-10,100,1.8e-07,1,2.50908e-06
0.7,9.909090909090907e-15,1e-10,100,3.6e-07,1,2.5641e-06
0.7,9.909090909090907e-15,1e-10,125,1.8e-07,1,2.50906e-06
0.7,9.909090909090907e-15,1e-10,125,3.6e-07,1,2.56559e-06
0.7,9.909090909090907e-15,2e-10,-40,1.8e-07,1,2.49703e-06
0.7,9.909090909090907e-15,2e-10,-40,3.6e-07,1,2.54154e-06
0.7,9.909090909090907e-15,2e-10,-25,1.8e-07,1,2.49876e-06
0.7,9.909090909090907e-15,2e-10,-25,3.6e-07,1,2.54503e-06
0.7,9.909090909090907e-15,2e-10,0,1.8e-07,1,2.50111e-06
0.7,9.909090909090907e-15,2e-10,0,3.6e-07,1,2.54911e-06
0.7,9.909090909090907e-15,2e-10,25,1.8e-07,1,2.50309e-06
0.7,9.909090909090907e-15,2e-10,25,3.6e-07,1,2.55271e-06
0.7,9.909090909090907e-15,2e-10,75,1.8e-07,1,2.50591e-06
0.7,9.909090909090907e-15,2e-10,75,3.6e-07,1,2.55793e-06
0.7,9.909090909090907e-15,2e-10,100,1.8e-07,1,2.50588e-06
0.7,9.909090909090907e-15,2e-10,100,3.6e-07,1,2.56021e-06
0.7,9.909090909090907e-15,2e-10,125,1.8e-07,1,2.50323e-06
0.7,9.909090909090907e-15,2e-10,125,3.6e-07,1,2.56209e-06
0.7,9.909090909090907e-15,4e-10,-40,1.8e-07,1,2.4954e-06
0.7,9.909090909090907e-15,4e-10,-40,3.6e-07,1,2.53975e-06
0.7,9.909090909090907e-15,4e-10,-25,1.8e-07,1,2.49657e-06
0.7,9.909090909090907e-15,4e-10,-25,3.6e-07,1,2.54156e-06
0.7,9.909090909090907e-15,4e-10,0,1.8e-07,1,2.49861e-06
0.7,9.909090909090907e-15,4e-10,0,3.6e-07,1,2.54515e-06
0.7,9.909090909090907e-15,4e-10,25,1.8e-07,1,2.4984e-06
0.7,9.909090909090907e-15,4e-10,25,3.6e-07,1,2.54858e-06
0.7,9.909090909090907e-15,4e-10,75,1.8e-07,1,2.46513e-06
0.7,9.909090909090907e-15,4e-10,75,3.6e-07,1,2.55442e-06
0.7,9.909090909090907e-15,4e-10,100,1.8e-07,1,2.41914e-06
0.7,9.909090909090907e-15,4e-10,100,3.6e-07,1,2.55649e-06
0.7,9.909090909090907e-15,4e-10,125,1.8e-07,1,2.35114e-06
0.7,9.909090909090907e-15,4e-10,125,3.6e-07,1,2.55661e-06
0.7,1.436363636363636e-14,1e-11,-40,1.8e-07,1,3.60079e-06
0.7,1.436363636363636e-14,1e-11,-40,3.6e-07,1,3.65821e-06
0.7,1.436363636363636e-14,1e-11,-25,1.8e-07,1,3.60114e-06
